trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.5, 'e': 0.1319638224186565}",20,11,19.303700990232386,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.12998436508237665}",20,9,19.76227115259331,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.12803459960614103}",20,2,11.3699521783708,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.1261140806120489}",20,8,24.518986154462986,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.12422236940286815}",20,10,-15.242448834250885,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.12235903386182513}",20,12,13.353686632791602,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.12052364835389776}",35,14,24.47571757586328,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.11871579362858929}",20,10,16.76771236453373,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.11693505672416045}",20,11,13.877002933021586,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.11518103087329803}",25,13,22.53110039099793,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.11345331541019857}",20,0,6.345417283867576,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.1117515156790456}",20,10,19.299849377361262,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.1100752429438599}",25,11,27.206392880807503,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.108424114299702}",20,9,23.337385286682636,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.10679775258520648}",20,0,28.929559780406166,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.10519578629642837}",35,9,43.469101862465195,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.10361784950198194}",25,2,28.345925391076236,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.10206358175945221}",25,0,39.91732292063712,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.10053262803306043}",35,19,-13.216140076282233,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.5, 'e': 0.09902463861256453}",25,8,30.673449445687492,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.09753926903337605}",20,3,29.628669491958696,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.09607617999787542}",25,7,22.52451433904328,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.09463503729790727}",25,8,31.63313356674023,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.09321551173843867}",25,19,10.641707017362592,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.09181727906236209}",25,10,26.346163938173746,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.09044001987642665}",20,9,-22.996051307306175,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.5, 'e': 0.08908341957828025}",25,0,40.76075868175558,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.08774716828460605}",30,0,54.3430441487804,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.08643096076033696}",20,10,16.924357202182687,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.0851344963489319}",25,8,14.795798029811717,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.08385747890369792}",20,0,19.260593246979447,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.08259961672014245}",25,1,-9.150040275121539,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.08136062246934031}",30,8,26.77253478249895,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.08014021313230021}",25,0,27.65069064784973,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.0789381099353157}",25,0,32.47691901009396,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
